tech,rmse_test,rmse_train,rmse_ratio,r2_train,r2_test,r2_ratio,mae_train,mae_test,mae_ratio,mpe_train,mpe_test,mpe_ratio,k
bagging,3027.947059132733,929.2012847605289,2.2586556958033985,0.925361860463515,0.34457111142023866,-0.6276363591993703,588.1986439716312,1780.0504907801421,2.026274387103133,0.15651986043218508,0.43674234719927796,1.7903318211078019,500
ensemble_voting_bg_mlp_gd_xgb,3015.65707015062,948.6268592476301,2.1789707836676495,0.9222085196100295,0.34988089141430445,-0.6206054444582043,689.3627845167566,1873.548238858523,1.7177971903021723,0.18547365098435498,0.4662820130146703,1.5140067634404955,500
svr_poly_rbf,3834.465348483469,3503.278103791222,0.09453638417510701,-0.06093904214711787,-0.05108698616303653,-0.16167067346245279,2710.1672861434545,2776.1483342555734,0.024345747382261917,0.6207813375462207,0.6995977596477811,0.12696325958041887,500
gradient_boosting,3041.733424033811,1581.3191901158286,0.9235417131762056,0.783837534611056,0.3385891360142129,-0.5680365878597247,1216.9470487962794,2001.3392958618642,0.6445574175486533,0.3307858192368283,0.49857174210488436,0.5072343284097334,500
decision_tree,3658.94743017839,225.53128763461547,15.22367995391518,0.9956030168519215,0.042935155631018795,-0.9568752254620733,21.27659574468085,2027.1276063829787,94.2749975,0.004940528959810875,0.46342899425553125,92.8014933269962,500
elastic_net,3097.779275572643,2458.5014515690423,0.2600274340271822,0.4775049981947924,0.31399076213895116,-0.3424346062847652,1834.0762809756654,2132.7597000353003,0.16285223365995738,0.48050810501938834,0.571407896812355,0.18917431536206641,500
random_forest,3026.1627225582447,907.1723970732979,2.335818784082488,0.9288588540109568,0.3453433581778418,-0.6282068511414888,583.7713236828774,1772.6991917933133,2.0366328729711602,0.15622740293382117,0.43716718384219516,1.7982746664961313,500
adaboost,3155.4048841312165,2447.6797350939073,0.28914123808364844,0.4820946626549417,0.28823076752124266,-0.4021282751110994,1950.178749350437,2215.772663778785,0.13618952340487334,0.5551313425387746,0.6649095192903032,0.1977517180879782,500
mlp,3369.0715296135154,1637.9473954574692,1.0568862827689003,0.7680784516320609,0.18857293869675706,-0.7544873986556119,1220.9376164334678,2292.505809212463,0.8776600690780567,0.24922850083068657,0.5058382693078763,1.0296164669044718,500
ridge,3478.7632830312996,1588.4974321948482,1.1899709829714018,0.7818705840636851,0.13487516524843057,-0.8274968159724951,1172.2921300458206,2460.111234745338,1.098547940136032,0.28563896295070756,0.6146190161913581,1.151733817551432,500
xgboost,3123.2026610582634,316.1660072058863,8.878363232845725,0.9913588498504573,0.3026844402149751,-0.6946772197972169,170.72174389940625,1852.4056669714096,9.850437821575298,0.04426031611730015,0.46043507558163466,9.40288719044334,500
bagging,2517.268700630488,931.8892248582439,1.7012531462775602,0.9285139472346154,0.44777708612434586,-0.5177486698417872,587.9073401595745,1675.746614716312,1.8503583817502052,0.16173914913212664,0.40757776851098293,1.5199697828138552,500
